question,answer,category
What programmes does Sunyani Technical University offer at the Master's level?,"Sunyani Technical University (STU) offers the following Master's Degree Programmes (2-Year MTech/MSc): MTech Construction Technology and Management, MTech Telecommunications Engineering, MTech Water and Sanitation Engineering, MTech Road and Transportation Engineering, MTech Structural Engineering, MTech Automobile Engineering, MTech Plant Engineering, MTech Production Engineering, MTech Electrical Engineering (Power), MSc Procurement and Supply Chain Management, and MSc Marketing.",Programmes
What are the entry requirements for Master's degree programmes at STU?,"Admission into Master's degree programmes at STU is open to: (1) Applicants with a first degree not below second-class lower division from an accredited university in the relevant field. (2) Applicants with a third class or pass degree who have at least 2 years of relevant industry working experience — they must also pass a selection interview before admission.",Admissions
What Bachelor's degree programmes are offered at STU?,"STU offers the following 4-year BTech/BSc programmes: Electrical and Electronics Engineering, Mechanical Engineering, Civil Engineering, Welding and Metallurgical Engineering, Materials Engineering, Environmental and Safety Engineering, Mineral Engineering (BSc), Agricultural Engineering, Hospitality and Tourism Management, Tourism Management, Agriculture, Applied Mathematics, Computer Science, Information and Communication Technology (ICT), Pharmacy Technician, Construction Technology, Real Estate (BSc), Facilities Management, Interior Design, Wood Construction Technology, Computerized Accounting, Procurement and Supply Chain Management, Marketing, Office Management, Water and Sanitation Engineering, Diagnostic Medical Imaging, Accounting Technology (Top-Up), and Management Studies (Top-Up).",Programmes
What are the entry requirements for Bachelor's degree programmes at STU?,"Admission into BTech/BSc programmes at STU is open to applicants who meet any of the following qualifications: (1) SSSSCE holders with credit passes (A-D) in English, Mathematics, and Integrated Science, plus credits in three relevant elective subjects. (2) WASSCE holders with credit passes (A1-C6) in English, Mathematics, and Integrated Science, plus credits in three relevant electives. (3) NABPTEX/CTVET Certificate II holders with passes in six subjects: three core (English, Mathematics, Integrated Science) and three relevant electives. (4) HND holders in a relevant programme area will be admitted at Level 300. (5) Advanced Level holders with credits in at least five GCE O-Level subjects including English and Mathematics, plus two passes in relevant subjects. (6) Technical School applicants with passes in English, Mathematics, Integrated Science, and three relevant electives. (7) Post-Secondary Teacher Training Certificate holders with five GCE O-Level/SSSCE/WASSCE passes including English and Mathematics. (8) Mature Applicants: must be at least 25 years old, have at least 2 years relevant industrial experience, pass a written examination, and provide proof of date of birth. Note: Individual departments may have additional requirements.",Admissions
What HND programmes are offered at STU?,"STU offers HND programmes across several faculties: FACULTY OF BUSINESS AND MANAGEMENT STUDIES: HND Accountancy, HND Computerized Accounting, HND Purchasing and Supply, HND Secretaryship and Management Studies (all available in Regular, Weekend, and Evening modes). FACULTY OF ENGINEERING: HND Welding and Metallurgical Engineering, HND Electrical/Electronics Engineering, HND Materials Engineering, HND Mechanical Engineering (Automobile, Plant, and Production options). FACULTY OF BUILT ENVIRONMENT AND APPLIED ARTS: HND Building Technology, HND Ceramic Arts, HND Fashion Design Technology, HND Textiles Technology, HND Interior Design and Technology (Wood Technology). FACULTY OF APPLIED SCIENCES AND TECHNOLOGY: HND Computer Science, HND Dispensing Technology, HND General Agriculture, HND Hotel Catering and Institutional Management (Regular, Weekend, and Evening), HND Information and Communication Technology (ICT).",Programmes
What are the entry requirements for HND programmes at STU?,"Admission into HND programmes is open to: (1) SSSSCE holders with credit passes (A-D) in English, Mathematics, and Integrated Science/Social Studies, plus credits in three relevant elective subjects. (2) WASSCE holders with credit passes (A1-D7) in English, Mathematics, and Integrated Science/Social Studies, plus credits (A1-C6) in three relevant electives. (3) Certificate II holders with passes in six subjects: three core and three relevant electives. (4) Advanced Level holders with at least five GCE O-Level credits including English and Mathematics, plus two passes in relevant subjects. (5) Technical School applicants with passes in English, Mathematics, Integrated Science, and three relevant electives. (6) Post-Secondary Teacher Training Certificate holders with passes in five GCE O-Level/SSSCE/WASSCE subjects including English and Mathematics. (7) DBS holders with Distinction or Credit from a GES-accredited institution may enter at Level 200; DBS Pass holders enroll at Level 100 — all must have four credit passes in WASSCE/SSSCE/RSA II including English and Mathematics. (8) Mature Applicants: at least 25 years old, at least 2 years relevant industrial experience, must pass a written examination, and provide proof of date of birth via a national document at least 5 years old.",Admissions
What Diploma programmes does STU offer?,"STU offers the following Diploma programmes: 2-year programmes: Diploma in Real Estate, Diploma in Computerised Accounting (DCA), Diploma in Banking Technology and Accounting (DBTA), Diploma in Electronic Marketing, Diploma in Business Administration, Diploma in Public Relations, Diploma in Procurement and Materials Management. 1-year Diploma in Business Studies programmes: Accounting Option, Secretarial Option, Management Option, Marketing Option, Purchasing and Supply Option, Statistics Option, and Entrepreneurship Option.",Programmes
What are the entry requirements for Diploma programmes at STU?,"For 2-year Diploma programmes (Real Estate, DCA, DBTA, Electronic Marketing, Business Administration, Public Relations, Procurement and Materials Management): applicants need five (5) SSSCE/WASSCE passes including English Language and Mathematics, or equivalent GBCE passes. For 1-year Diploma in Business Studies programmes (all options): applicants need four (4) SSSCE/WASSCE passes including English Language and Mathematics, or equivalent GBCE passes.",Admissions
What Craft and Certificate programmes does STU offer?,"STU runs CTVET programmes at two levels: NATIONAL PROFICIENCY I: Garment Making, Automotive Engineering Technology, Block Laying and Tiling, Welding and Fabrication, Electrical Installation, and Plumbing. NATIONAL CERTIFICATE I: Garment Making, Electrical Engineering Technology, Block Laying and Tiling, Automotive Mechanic, Furniture Design Technology, Welding and Fabrication Technology, Building Construction Technology, Electronics Engineering Technology, Poultry Production, Computer Data Administration, Computer Networking System, and Computer Software Development. Entry requirement for all Craft programmes: SSSSCE/WASSCE and JHS certificates.",Programmes
What short courses and proficiency certificates does STU offer?,"STU offers the following short courses and proficiency certificates: Architectural and Engineering Draughtsmanship, Proficiency in Chinese Language, Proficiency in English Language, Proficiency in French Language, Customer Service, Health Safety and Security Management, Insurance Marketing, Hotel Management, Welding, and Plumbing. Contact the Admissions Office for current enrolment dates and fees.",Programmes
What professional programmes does STU offer?,"STU offers the following professional programmes: (1) Professional Diploma in Computerised Accounting — entry requirement is a Diploma in Computerised Accounting. (2) Chartered Institute of Marketing Ghana (CIMG) programmes: Professional Certificate in Marketing, Professional Advanced Certificate in Marketing, Professional Diploma in Marketing, Professional Degree in Applied Marketing, Professional Post-graduate Diploma in Marketing, Professional Marketer designation, and Professional Master's in Applied Marketing.",Programmes
How do I apply for admission to STU?,"To apply for admission to Sunyani Technical University: (1) Purchase an Admission Voucher (Serial Number and PIN Code) from the STU Finance Office, Regional or District Post Offices nationwide, or any branch of Fidelity Bank, Zenith Bank, GCB Bank, Stanbic Bank, UMB Bank, CBG Bank, Prudential Bank, or ADB Bank. You can also purchase via mobile using USSD code *885# (Ghana Post). (2) Visit admissions.stu.edu.gh and log in with your Serial Number and PIN. (3) Complete and submit the online application form. (4) Print your completed form and submit it with photocopies of your certificates to: The Registrar's Office, Sunyani Technical University, P.O. Box 206, Sunyani. Mature Applicants must also attach their birth certificate or JHS certificate.",Admissions
How much does the STU application form cost?,"Application form costs at Sunyani Technical University are: Postgraduate programmes — GH¢250.00, Undergraduate (BTech/BSc/HND/Diploma) — GH¢150.00, Mature applicant forms — GH¢250.00, Certificate programmes — GH¢100.00. Vouchers are available at the STU Finance Office, Post Offices, and designated banks nationwide.",Fees
Where can I buy an STU admission voucher?,"STU admission vouchers can be purchased from: (1) The Finance Office, Sunyani Technical University campus. (2) Regional and District Post Offices throughout Ghana. (3) Any branch of Fidelity Bank, Zenith Bank, GCB Bank, Stanbic Bank, UMB Bank, CBG Bank, Prudential Bank, or ADB Bank. (4) Via mobile using USSD code *885# (Ghana Post).",Admissions
How do I apply online for STU admission?,"After purchasing your admission voucher, visit admissions.stu.edu.gh. Log in using your Serial Number and PIN Code, follow the steps on the Online Admissions system to complete your application, then print your completed form and submit it with your certificates to the Registrar's Office.",Admissions
Where do I submit my completed STU application form?,"Submit your printed application form and photocopies of your certificates to: The Registrar's Office, Sunyani Technical University, P.O. Box 206, Sunyani. You may post or submit in person. Mature Applicants must include their birth certificate or JHS certificate.",Admissions
Who do I contact for admissions enquiries at STU?,"For admissions enquiries at Sunyani Technical University, contact the Deputy Registrar in charge of Academic Affairs and Admissions on: 0352023278, 0352027052, 0501512556, or 0552685658.",Contact
What are the requirements for mature applicants at STU?,"Mature applicants to any STU programme must: (1) Be at least 25 years old. (2) Have at least 2 years of relevant industrial experience. (3) Pass a written entrance examination. (4) Provide proof of date of birth using a valid national document (must be at least 5 years old for HND applicants). Mature applicants must also pay GH¢150.00 on or before the examination day at the STU campus — this covers the cost of the entrance examination.",Admissions
When is the mature applicants entrance exam at STU?,"The Mature Candidates Entrance Examination is scheduled for Friday, 31st October 2025 at 10:00 a.m. prompt at the Sunyani Technical University campus. All mature applicants must pay GH¢150.00 on or before the day of the exam at the STU campus.",Admissions
Does STU admit HND holders into Bachelor's degree programmes?,"Yes. HND holders in a relevant programme area are eligible for admission into STU's BTech/BSc programmes and will be admitted at Level 300, allowing them to complete the degree faster by skipping the first two years.",Admissions
What is the STU admissions website?,"The official admissions portal for Sunyani Technical University is admissions.stu.edu.gh. You will need a valid Serial Number and PIN Code from a purchased admission voucher to log in and complete your application.",Admissions
